Dilutions,042-101,042-102,042-103,042-104,042-105,042-106,042-107,042-108
0.4,,,,,,,,
0.7,,,,,,,,
1,100,100,100,100,100,100,100,100
1.3,100,100,100,100,100,100,100,100
1.6,100,100,100,100,100,100,100,100
1.9,97,80,100,94,100,94,91,100
2.2,88,74,65,94,91,68,88,97
2.5,80,1,51,68,54,48,45,88
2.8,25,0,7,33,25,36,25,68
3.1,19,0,0,25,7,22,7,45
3.4,1,0,0,22,0,7,0,25
3.7,0,0,0,0,0,0,0,22
4.01,0,0,0,0,0,0,0,0
4.31,0,0,0,0,0,0,0,0
