Dilution,042-101,042-102,042-103,042-104,042-105,042-106,042-107,042-108,044-101,044-102,044-103,044-104
0.4,0,0,0,0,36,15,28,45,0,0,0,0
0.7,0,0,0,0,36,15,28,28,0,0,0,0
1,0,0,0,0,23,0,19,3,0,0,0,0
1.3,0,0,0,0,0,0,3,0,0,0,0,0
1.6,0,0,0,0,0,0,0,0,0,0,0,0
1.9,0,0,0,0,0,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0
2.8,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,0,0,0,0,0,0,0,0,0,0,0
3.4,0,0,0,0,0,0,0,0,0,0,0,0
3.7,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,0,0,0,
,,,,,,,,,0,0,0,
